City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,52.23,73,40,8.05,AU,1649706395
Qaanaaq,77.484,-69.3632,-2.02,77,29,3.22,GL,1649706634
Marsh Harbour,26.5412,-77.0636,72.39,58,0,14.29,BS,1649706657
Cherskiy,68.75,161.3,-11.94,94,60,7.0,RU,1649706658
La Ronge,55.1001,-105.2842,17.82,62,100,17.27,CA,1649706136
Mataura,-46.1927,168.8643,48.47,98,100,4.88,NZ,1649706595
Butaritari,3.0707,172.7902,80.49,77,71,9.86,KI,1649706610
San Quintín,30.4833,-115.95,65.07,58,3,13.38,MX,1649706162
Nikolskoye,59.7035,30.7861,35.49,97,17,2.59,RU,1649706209
Port Alfred,-33.5906,26.891,69.12,78,100,21.85,ZA,1649706632
Imperial,33.0334,-115.4175,80.98,18,0,11.65,US,1649706659
Lac du Bonnet,50.2536,-96.0612,40.55,58,77,11.92,CA,1649706660
Alta Floresta,-9.8756,-56.0861,93.02,52,20,3.44,BR,1649706660
Atuona,-9.8,-139.0333,78.98,78,22,16.04,PF,1649706661
Turukhansk,65.8167,87.9833,9.07,92,96,7.49,RU,1649706292
Shelburne,44.0787,-80.2041,55.85,68,67,14.74,CA,1649706078
Porto-Vecchio,41.591,9.2795,53.26,66,0,13.8,FR,1649706662
Broome,42.2506,-75.833,64.42,35,99,7.0,US,1649706329
Nantucket,41.2835,-70.0995,57.34,47,0,13.8,US,1649706128
Kulhudhuffushi,6.6221,73.07,83.77,76,18,11.12,MV,1649706127
Whitianga,-36.8333,175.7,64.18,86,100,10.33,NZ,1649706663
Avarua,-21.2078,-159.775,77.05,94,40,2.3,CK,1649706067
Chui,-33.6971,-53.4616,71.91,83,78,8.95,UY,1649706481
Pisco,-13.7,-76.2167,73.45,60,0,21.85,PE,1649706072
Chernyshevskiy,63.0128,112.4714,10.69,95,99,1.68,RU,1649706440
Belaya Gora,68.5333,146.4167,-13.5,100,94,3.65,RU,1649706094
Kondapalle,16.6167,80.5333,79.9,79,10,6.76,IN,1649706666
Yantal',56.8471,105.2542,25.11,97,100,3.53,RU,1649706666
Zhigansk,66.7697,123.3711,-1.01,98,27,10.33,RU,1649706184
Havre-St-Pierre,50.2334,-63.5986,50.36,40,75,13.8,CA,1649706216
Yellowknife,62.456,-114.3525,14.56,67,100,15.01,CA,1649706668
Vung Tau,10.346,107.0843,79.65,78,33,8.28,VN,1649706668
Sladkovo,55.5284,70.3385,37.56,64,95,9.78,RU,1649706669
Bluff,-46.6,168.3333,48.79,69,100,14.63,NZ,1649706669
Northam,51.0333,-4.2167,54.25,76,53,8.72,GB,1649706264
Goshen,41.5823,-85.8344,59.74,50,100,10.36,US,1649706670
Longyearbyen,78.2186,15.6401,8.44,61,0,10.36,SJ,1649706670
Saint-Philippe,-21.3585,55.7679,76.59,83,95,17.2,RE,1649706071
Dillon,34.4166,-79.3712,84.15,32,20,12.12,US,1649706671
Saint George,37.1041,-113.5841,72.43,13,96,4.0,US,1649706430
East London,-33.0153,27.9116,67.14,87,100,12.06,ZA,1649706477
Te Anau,-45.4167,167.7167,47.25,95,100,2.13,NZ,1649706671
Likasi,-10.9814,26.7333,62.58,97,100,3.38,CD,1649706672
Santa Helena de Goiás,-17.8136,-50.5969,85.55,58,86,4.41,BR,1649706212
Port Elizabeth,-33.918,25.5701,66.49,82,0,12.66,ZA,1649706673
Kichera,55.9375,110.0997,23.65,94,100,3.31,RU,1649706674
Angoche,-16.2325,39.9086,77.36,88,19,5.39,MZ,1649706674
Kaitangata,-46.2817,169.8464,48.9,94,100,5.35,NZ,1649706082
Tiksi,71.6872,128.8694,-7.62,99,100,7.99,RU,1649706084
Cidreira,-30.1811,-50.2056,68.92,94,100,14.05,BR,1649706150
Maceió,-9.6658,-35.7353,85.44,61,20,12.66,BR,1649706236
Esperance,-33.8667,121.9,58.84,86,100,10.0,AU,1649706676
Bambous Virieux,-20.3428,57.7575,79.05,78,75,11.5,MU,1649706676
Parabel',58.6978,81.4825,21.83,95,16,6.51,RU,1649706388
Kodino,63.7198,39.6447,33.98,93,100,5.86,RU,1649706677
Mar del Plata,-38.0023,-57.5575,64.09,84,100,20.0,AR,1649706546
Chokurdakh,70.6333,147.9167,0.73,91,100,10.92,RU,1649706678
Taoudenni,22.6783,-3.9836,86.65,4,89,8.61,ML,1649706018
Thompson,55.7435,-97.8558,30.36,59,100,2.3,CA,1649706623
Provideniya,64.3833,-173.3,23.54,93,100,11.95,RU,1649706090
Valle de Allende,26.9333,-105.4,78.6,7,100,5.28,MX,1649706680
Garoowe,8.4054,48.4845,78.28,65,26,11.32,SO,1649706176
Manokwari,-0.8667,134.0833,75.67,90,100,8.01,ID,1649706680
Ostrovnoy,68.0531,39.5131,32.56,85,61,26.96,RU,1649706115
Kavieng,-2.5744,150.7967,81.75,74,17,9.6,PG,1649706681
Tuktoyaktuk,69.4541,-133.0374,-4.0,71,20,4.61,CA,1649706602
Saint Anthony,45.0205,-93.218,59.94,38,20,17.27,US,1649706304
La Libertad,-2.2333,-80.9,80.26,74,0,10.36,EC,1649706682
Barrow,71.2906,-156.7887,19.42,79,0,10.36,US,1649706594
Solnechnyy,50.7214,136.6319,21.36,95,72,6.15,RU,1649706133
Gejiu,23.306,103.1635,52.72,94,17,4.25,CN,1649706683
Shaowu,27.3409,117.4831,66.88,72,0,1.79,CN,1649706684
Olafsvik,64.8945,-23.7142,33.44,76,91,25.46,IS,1649706684
Saint-Pierre,-21.3393,55.4781,77.92,80,75,23.02,RE,1649706076
Shellbrook,53.2168,-106.4011,18.63,73,100,15.88,CA,1649706685
Katsuura,35.1333,140.3,62.13,89,100,13.4,JP,1649706107
Khatanga,71.9667,102.5,-20.78,100,100,2.44,RU,1649706218
Tura,25.5198,90.2201,69.93,85,4,5.19,IN,1649706178
Coquimbo,-29.9533,-71.3436,60.53,77,20,12.66,CL,1649706111
Lagoa,39.05,-27.9833,59.58,94,100,22.08,PT,1649706115
Chakradharpur,22.7,85.6333,82.78,18,94,4.12,IN,1649706687
Dikson,73.5069,80.5464,7.74,79,100,16.67,RU,1649705835
Koryčany,49.1064,17.1643,44.08,57,12,1.9,CZ,1649706688
Port Hedland,-20.3167,118.5667,75.25,88,0,3.44,AU,1649706214
Nanortalik,60.1432,-45.2371,36.48,67,100,8.41,GL,1649706096
Gamba,-2.65,10.0,77.67,91,82,5.39,GA,1649706325
Brookings,44.3114,-96.7984,55.45,43,20,11.5,US,1649706690
Golden,39.7555,-105.2211,62.35,23,40,8.05,US,1649706690
Bukachacha,52.9833,116.9167,17.04,86,24,3.71,RU,1649706691
Faanui,-16.4833,-151.75,81.99,73,1,17.07,PF,1649706691
Westerland,54.9079,8.3033,37.94,75,100,3.44,DE,1649706692
Isnos,1.9356,-76.2406,71.46,66,100,4.7,CO,1649706693
Fairbanks,64.8378,-147.7164,33.49,67,0,8.05,US,1649706302
Sayyan,15.1718,44.3244,60.96,31,0,10.0,YE,1649706694
Hermanus,-34.4187,19.2345,67.64,57,0,4.41,ZA,1649706694
Balkhash,46.844,74.9804,43.9,42,98,23.04,KZ,1649706033
Sitka,57.0531,-135.33,37.29,22,20,17.27,US,1649706695
Bethel,41.3712,-73.414,63.36,34,0,8.05,US,1649706166
George Town,5.4112,100.3354,80.53,93,20,3.44,MY,1649706512
Laguna,38.421,-121.4238,64.54,59,20,18.41,US,1649706217
Qujing,25.4833,103.7833,55.74,74,14,4.83,CN,1649706696
Beringovskiy,63.05,179.3167,23.25,94,100,10.04,RU,1649706105
São Miguel do Araguaia,-13.275,-50.1628,87.08,55,76,1.72,BR,1649706697
Ponta do Sol,32.6667,-17.1,63.72,67,100,13.22,PT,1649706698
Upernavik,72.7868,-56.1549,15.69,93,100,8.43,GL,1649706698
Kaeo,-35.1,173.7833,67.32,90,100,13.6,NZ,1649706699
Souillac,-20.5167,57.5167,79.18,78,75,11.5,MU,1649706699
Ulety,51.3572,112.4849,21.2,85,98,3.09,RU,1649706699
Dzhebariki-Khaya,62.2167,135.8,15.66,96,100,0.2,RU,1649706139
Ilulissat,69.2167,-51.1,28.42,54,75,2.3,GL,1649705974
Porto Walter,-8.2686,-72.7439,87.15,60,30,2.57,BR,1649706700
Lhokseumawe,5.1801,97.1507,77.97,86,76,3.49,ID,1649706701
Kongolo,-5.3833,27.0,72.39,90,100,1.36,CD,1649706702
Flagstaff,35.1981,-111.6513,60.6,40,20,35.68,US,1649706552
Srednekolymsk,67.45,153.6833,-8.52,99,59,3.36,RU,1649706130
Jiazi,22.8779,116.067,72.66,81,1,2.08,CN,1649706703
Raudeberg,61.9875,5.1352,38.07,76,97,5.03,NO,1649706703
Mayo,38.8876,-76.5119,68.13,48,0,14.97,US,1649706157
Carnarvon,-24.8667,113.6333,62.67,72,14,10.36,AU,1649706624
Sal Rei,16.1833,-22.9167,71.8,64,75,20.71,CV,1649706704
Morro Bay,35.3658,-120.8499,66.94,72,33,3.0,US,1649706213
Vidim,56.4088,103.1106,17.53,97,50,2.98,RU,1649706705
Härnösand,62.6323,17.9379,39.22,83,65,10.13,SE,1649706578
Talovaya,51.1144,40.73,56.64,71,39,15.43,RU,1649706705
Berlevåg,70.8578,29.0864,33.75,86,75,2.3,NO,1649706110
Chimoio,-19.1164,33.4833,69.66,100,75,3.4,MZ,1649706706
Alyangula,-13.8483,136.4192,78.67,94,77,0.0,AU,1649706706
Hithadhoo,-0.6,73.0833,83.66,67,58,12.39,MV,1649706707
Ayr,55.4627,-4.6339,51.78,62,20,12.66,GB,1649706707
Dudinka,69.4058,86.1778,-4.38,90,98,7.23,RU,1649706708
Taksimo,56.3444,114.8794,15.01,90,67,1.99,RU,1649706199
Lorengau,-2.0226,147.2712,81.77,74,30,7.94,PG,1649706246
Uusikaupunki,60.8004,21.4084,36.01,88,28,10.27,FI,1649706708
Sydney,-33.8679,151.2073,66.11,87,75,14.97,AU,1649706304
Puerto Ayora,-0.7393,-90.3518,84.16,90,92,8.01,EC,1649706709
Luanda,-8.8368,13.2343,80.6,83,20,6.91,AO,1649706709
Saint Paul Harbor,57.79,-152.4072,44.11,33,0,6.91,US,1649706631
Medina,24.4686,39.6142,91.83,12,0,11.5,SA,1649706710
Batagay-Alyta,67.8006,130.4114,-11.31,87,56,5.64,RU,1649706711
Hohhot,40.8106,111.6522,34.09,51,0,8.95,CN,1649706711
Barcs,45.96,17.4586,42.35,73,7,5.95,HU,1649706711
Torbay,47.6666,-52.7314,36.75,91,100,19.57,CA,1649706712
Nome,64.5011,-165.4064,31.15,69,0,16.11,US,1649706507
Tasiilaq,65.6145,-37.6368,16.79,85,100,2.75,GL,1649706712
Mikumi,-7.4041,36.9831,69.15,92,25,3.15,TZ,1649706713
Ziyang,29.2497,117.8547,67.5,73,2,2.95,CN,1649706713
Nampula,-15.1165,39.2666,76.95,88,75,8.05,MZ,1649706714
Broken Hill,-31.95,141.4333,60.51,63,4,4.61,AU,1649706714
Puerto Palomas,31.7667,-107.6167,78.87,13,7,24.87,MX,1649706714
Sidhi,24.4167,81.8833,85.3,12,88,4.07,IN,1649706715
Cockburn Town,21.4612,-71.1419,76.78,80,2,20.89,TC,1649706146
Luga,58.7372,29.8453,32.32,94,20,3.56,RU,1649706715
Krasnosel'kup,65.7,82.4667,30.36,99,100,7.61,RU,1649706172
Kahului,20.8947,-156.47,80.62,67,40,14.97,US,1649706121
Hasaki,35.7333,140.8333,59.4,87,93,14.05,JP,1649706152
Waddān,29.1614,16.139,68.04,27,0,15.73,LY,1649706717
Bathsheba,13.2167,-59.5167,83.01,65,40,21.85,BB,1649706185
Sur,22.5667,59.5289,86.0,41,0,7.92,OM,1649706204
Half Moon Bay,37.4636,-122.4286,57.42,67,0,34.52,US,1649706139
Morondava,-20.2833,44.2833,81.23,54,66,11.1,MG,1649706718
Salina,38.8403,-97.6114,70.02,26,0,12.66,US,1649706718
Umm Kaddadah,13.6017,26.6876,83.82,10,1,7.38,SD,1649706719
Geraldton,-28.7667,114.6,54.01,94,0,6.91,AU,1649706719
Raja,8.4596,25.678,80.67,55,73,6.71,SS,1649706720
Bosaso,11.2842,49.1816,82.27,65,1,4.25,SO,1649706343
Galashki,43.1136,44.9894,49.15,63,1,5.35,RU,1649706720
Sittwe,20.15,92.9,80.1,77,10,3.74,MM,1649706721
Anju,39.6178,125.6647,58.62,87,87,2.1,KP,1649706721
Ouidah,6.3631,2.0851,84.06,85,56,10.18,BJ,1649706722
Aklavik,68.2191,-135.0107,10.35,86,67,7.76,CA,1649706722
Kupang,-10.1667,123.5833,75.92,84,64,4.29,ID,1649706155
El Espinal,16.3333,-94.0667,89.98,39,6,12.95,MX,1649706723
Kembé,4.6228,21.8865,74.95,75,79,0.6,CF,1649706724
Riyadh,24.6877,46.7219,89.74,15,53,10.74,SA,1649706119
Sobolevo,54.4299,31.8996,38.43,65,100,7.45,RU,1649706256
Kieta,-6.2167,155.6333,79.27,82,75,0.49,PG,1649706192
Skellefteå,64.7507,20.9528,32.36,69,4,5.75,SE,1649706725
Talnakh,69.4865,88.3972,-4.83,94,76,8.21,RU,1649706625
Anderson,34.5334,-82.6499,77.45,36,0,14.97,US,1649705942
Bulgan,48.8125,103.5347,19.81,78,100,3.49,MN,1649706726
Lebu,-37.6167,-73.65,55.27,76,100,5.77,CL,1649706726
Lewisporte,49.2499,-55.0482,33.55,97,100,22.97,CA,1649706727
Inuvik,68.3499,-133.7218,9.46,40,0,3.44,CA,1649706224
Ubari,26.5921,12.7805,75.0,17,4,10.6,LY,1649706727
Chapais,49.7834,-74.8492,40.78,84,100,8.03,CA,1649706178
Coţofenii din Dos,44.4333,23.6167,46.18,56,1,8.86,RO,1649706728
Malbork,54.0359,19.0266,40.12,79,3,0.98,PL,1649706729
Namikupa,-10.8333,39.6,71.11,98,28,2.28,TZ,1649706729
Ambilobe,-13.2,49.05,73.6,84,54,3.89,MG,1649706231
Mezhdurechensk,53.6942,88.0603,19.0,96,31,2.59,RU,1649706730
Morant Bay,17.8815,-76.4093,76.62,74,56,9.26,JM,1649706731
Severo-Kuril'sk,50.6789,156.125,27.05,80,24,6.13,RU,1649706617
Ahipara,-35.1667,173.1667,63.99,89,100,7.76,NZ,1649706115
Itarema,-2.9248,-39.9167,80.22,83,44,10.71,BR,1649706156
Lebowakgomo,-24.2,29.5,61.7,87,4,0.56,ZA,1649706732
Denpasar,-8.65,115.2167,78.46,83,20,3.44,ID,1649706403
Aitape,-3.1374,142.3475,78.75,86,99,8.63,PG,1649706733
Porosozero,62.7191,32.727,31.28,97,75,5.55,RU,1649706734
Madimba,-10.4,40.3333,77.72,88,20,8.37,TZ,1649706734
Cayenne,4.9333,-52.3333,83.08,1,75,14.97,GF,1649706240
Vila Velha,-20.3297,-40.2925,82.35,85,20,11.5,BR,1649705987
Mbandaka,0.0487,18.2603,73.81,91,96,3.89,CD,1649706735
Pundaguitan,6.3711,126.1689,81.93,78,100,10.4,PH,1649706736
Bloemfontein,-29.1211,26.214,52.79,86,39,7.43,ZA,1649706737
Bowen,-20.0167,148.2333,76.42,79,62,12.33,AU,1649706737
Mogilno,52.6581,17.9558,39.0,79,9,6.04,PL,1649706738
Lavrentiya,65.5833,-171.0,23.22,95,100,6.4,RU,1649706645
Buta,2.7858,24.73,70.38,87,91,2.71,CD,1649706738
Pevek,69.7008,170.3133,-21.41,98,37,7.72,RU,1649706739
Grand Island,40.925,-98.342,63.19,27,40,7.0,US,1649706740
Saint-François,46.4154,3.9054,56.68,54,0,14.97,FR,1649706063
Ngawen,-7.0032,111.3129,73.56,91,24,3.53,ID,1649706741
Kapoeta,4.7717,33.5903,75.43,75,100,5.39,SS,1649706201
Barranca,-10.75,-77.7667,71.19,75,100,9.62,PE,1649706742
Moose Factory,51.2585,-80.6094,42.8,52,100,10.36,CA,1649706250
Yerbogachën,61.2767,108.0108,9.21,97,46,1.61,RU,1649706742
Severodvinsk,64.5635,39.8302,37.51,89,100,8.88,RU,1649706743
Diamantino,-14.4086,-56.4461,86.04,62,86,4.27,BR,1649706744
Mabaruma,8.2,-59.7833,84.33,56,82,7.52,GY,1649706744
Rørvik,64.8621,11.2373,39.18,80,40,3.44,NO,1649706154
Yangi Marg`ilon,40.4272,71.7189,68.72,49,100,11.5,UZ,1649706745
Tekeli,44.83,78.8239,52.03,56,99,8.55,KZ,1649706745
Fortuna,40.5982,-124.1573,49.98,69,75,17.27,US,1649706222
Distrikt Brokopondo,4.75,-55.1667,79.38,88,36,8.75,SR,1649706746
Progreso,21.2833,-89.6667,96.12,46,12,14.25,MX,1649706357
Byron Bay,-28.65,153.6167,65.95,94,37,8.7,AU,1649706649
Mahibadhoo,3.7833,72.9667,83.98,74,82,12.37,MV,1649706220
Bulembu,-25.9667,31.1333,58.19,96,26,2.89,SZ,1649706747
Turaif,31.6725,38.6637,70.05,24,20,20.71,SA,1649706748
Hauterive,46.0901,3.4459,54.75,62,27,10.47,FR,1649706748
Salalah,17.0151,54.0924,80.1,68,0,2.28,OM,1649706749
Severnoye,56.3491,78.3619,22.87,94,100,3.13,RU,1649706749
Tuy Hoa,13.0833,109.3,72.97,91,98,3.06,VN,1649706750
Mafinga,-7.25,35.0667,69.21,73,40,5.59,TZ,1649706750
Hong Kong,22.2855,114.1577,77.18,84,1,5.01,HK,1649705882
Malatya Province,38.5,38.0,48.25,58,40,6.91,TR,1649706751
São João da Barra,-21.6403,-41.0511,82.49,74,13,9.44,BR,1649706653
Kumul,42.8,93.45,51.39,13,0,13.69,CN,1649706252
Huejuquilla el Alto,22.6,-103.8667,81.41,15,2,15.59,MX,1649706751
Xiongzhou,25.1167,114.3,69.93,71,0,2.37,CN,1649706752
Chul'man,56.8479,124.9104,-1.84,100,99,2.17,RU,1649706752
Lagunas,-5.2269,-75.6753,88.34,61,45,3.6,PE,1649706753
Mitsamiouli,-11.3847,43.2844,82.65,76,99,10.22,KM,1649706753
Husavik,66.0449,-17.3389,31.15,92,100,8.23,IS,1649706753
Bassano,50.7834,-112.4685,31.23,25,37,18.81,CA,1649706754
Ribeira Grande,38.5167,-28.7,61.2,94,75,20.71,PT,1649706754
São Filipe,14.8961,-24.4956,71.67,75,35,9.51,CV,1649706592
Erenhot,43.6475,111.9767,36.72,36,0,7.76,CN,1649706755
Bestöbe,52.4994,73.0975,39.06,56,99,14.9,KZ,1649706755
Mayor Pablo Lagerenza,-19.9309,-60.7718,97.83,32,34,16.58,PY,1649706756
Kokorevka,52.5872,34.2778,35.96,97,100,11.05,RU,1649706756
Altoona,40.5187,-78.3947,62.85,52,100,1.99,US,1649706553
Kargasok,59.0556,80.8572,23.09,95,15,7.0,RU,1649706757
Meulaboh,4.1363,96.1285,75.4,89,28,2.37,ID,1649706757
Kruisfontein,-34.0033,24.7314,63.99,91,7,5.75,ZA,1649706758
Mahina,-17.5065,-149.489,85.77,66,20,11.5,PF,1649706758
Cap Malheureux,-19.9842,57.6142,75.47,87,24,1.01,MU,1649706382
Terbuny,52.1389,38.2789,56.07,66,100,10.98,RU,1649706759
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,74,20,6.71,RU,1649706759
Nacozari,25.3366,-108.2574,80.44,45,100,11.5,MX,1649706759
Bonavista,48.6499,-53.1147,31.96,97,100,35.63,CA,1649706282
Miranda,3.2499,-76.2281,84.33,69,100,3.6,CO,1649706760
Burnie,-41.0667,145.9167,49.91,83,17,6.69,AU,1649706226
Sibsāgar,26.9833,94.6333,66.69,91,18,4.45,IN,1649706742
Sola,-13.8833,167.55,81.79,70,10,5.14,VU,1649706761
Saskylakh,71.9167,114.0833,-12.05,100,100,2.26,RU,1649706162
Deputatsky,69.3,139.9,-4.52,87,100,4.32,RU,1649705985
Yumen,40.2833,97.2,43.93,22,34,9.37,CN,1649706762
Mt. Pleasant,32.7941,-79.8626,81.3,40,0,14.97,US,1649706522
Lubango,-14.9172,13.4925,58.23,91,100,1.16,AO,1649706361
Ternate,0.8,127.4,81.86,79,99,6.73,ID,1649706697
Mossamedes,-15.1961,12.1522,73.53,83,90,9.01,AO,1649706203
College,64.8569,-147.8028,33.48,67,20,8.05,US,1649706578
Lich,50.5209,8.8157,49.86,61,100,5.39,DE,1649706763
Denizli Province,37.8402,29.0698,42.57,90,97,6.87,TR,1649706764
Ixtapa,20.7,-105.2,92.86,32,5,9.31,MX,1649706378
Iqaluit,63.7506,-68.5145,20.93,79,20,16.11,CA,1649706764
Teya,60.3778,92.6267,15.67,98,99,1.48,RU,1649706765
Road Town,18.4167,-64.6167,82.44,69,20,10.36,VG,1649706637
Pacific Grove,36.6177,-121.9166,57.15,91,75,16.11,US,1649706411
Batemans Bay,-35.7167,150.1833,60.1,81,100,5.91,AU,1649706765
Povenets,62.8487,34.8262,30.13,96,72,4.83,RU,1649706766
Mangan,27.5167,88.5333,67.41,58,4,4.23,IN,1649706766
Bogovarovo,58.9785,47.0246,41.7,99,100,8.3,RU,1649706767
Kununurra,-15.7667,128.7333,67.98,88,82,2.3,AU,1649706298
Muli,2.9167,73.5667,83.25,75,76,11.72,MV,1649706767
Port Lincoln,-34.7333,135.8667,62.02,77,100,17.45,AU,1649706184
Vila,42.0304,-8.1588,45.48,90,34,5.59,PT,1649706768
Hampton,37.0299,-76.3452,68.02,59,0,12.66,US,1649706544
Chernyakhovsk,54.6335,21.8156,33.49,76,7,2.55,RU,1649706768
Pemangkat,1.1667,108.9667,78.85,84,100,2.93,ID,1649706364
Banda Aceh,5.5577,95.3222,79.27,80,48,5.59,ID,1649706769
Salta,-24.7859,-65.4117,81.19,44,40,12.66,AR,1649706153
Sørland,67.667,12.6934,40.86,79,31,9.33,NO,1649706245
Bereda,43.2686,-7.5406,45.86,97,21,3.91,ES,1649706770
Bima,-8.4667,118.7167,73.74,92,81,3.47,ID,1649706770
Lüderitz,-26.6481,15.1594,70.07,57,0,6.29,NA,1649706770
Vanavara,60.34,102.2797,14.13,96,98,0.45,RU,1649706771
Alto Araguaia,-17.3147,-53.2153,77.76,75,93,2.98,BR,1649706771
Airai,-8.9266,125.4092,58.53,65,69,1.88,TL,1649706771
Belawan,3.7755,98.6832,76.06,89,99,4.63,ID,1649706772
Zlin,49.2267,17.6663,41.76,69,80,1.01,CZ,1649706772
Brignoles,43.4,6.0667,52.7,77,58,5.88,FR,1649706773
Langsa,4.4683,97.9683,74.19,96,94,2.37,ID,1649706773
Moba,33.2288,105.0179,42.24,82,100,7.74,CN,1649706774
Inírida,3.8653,-67.9239,83.41,74,89,0.43,CO,1649706774
Lata,40.1629,-8.3327,57.81,90,1,4.43,PT,1649706606
La Ligua,-32.4524,-71.2311,67.44,48,0,8.59,CL,1649706775
Zyuzel'skiy,56.4856,60.1331,33.64,96,100,5.73,RU,1649706775
Rocha,-34.4833,-54.3333,72.34,83,62,11.01,UY,1649706747
Port Pirie,-33.1833,138.0167,59.09,52,76,5.66,AU,1649706776
Nioro,13.35,-15.75,87.3,28,3,10.85,GM,1649706261
Solano,38.2333,-121.9511,62.29,44,40,25.32,US,1649706777
Bahía Blanca,-38.7196,-62.2724,61.32,55,75,3.44,AR,1649706609
Innisfail,-17.5333,146.0333,76.41,90,86,5.64,AU,1649706777
Merauke,-8.4667,140.3333,79.12,87,100,9.57,ID,1649706778
Awjilah,29.1081,21.2869,67.87,26,0,9.33,LY,1649706778
Revúca,48.6835,20.1173,41.25,75,39,4.32,SK,1649706778
Mahon,39.8885,4.2658,57.76,82,20,16.11,ES,1649706779
Makat,47.6469,53.3463,61.65,65,99,7.67,KZ,1649706779
Eureka,40.8021,-124.1637,50.25,67,46,10.0,US,1649706090
Pokhara,28.2333,83.9833,70.84,60,1,4.54,NP,1649706780
Pachmarhi,22.4667,78.4333,79.34,19,100,4.59,IN,1649706780
West Bay,19.3667,-81.4167,83.05,70,75,17.27,KY,1649706781
Butterworth,5.3991,100.3638,80.64,94,20,3.44,MY,1649706781
Tezu,27.9167,96.1667,65.39,84,4,3.56,IN,1649706782
Komatipoort,-25.4332,31.9548,69.04,88,96,3.62,ZA,1649706782
Topeka,39.0483,-95.678,68.07,39,0,3.44,US,1649706445
Uzhur,55.3036,89.8339,28.11,76,100,3.98,RU,1649706783
Khipro,25.8285,69.3772,82.24,53,100,14.76,PK,1649706784
Marawi,7.9986,124.2928,68.0,91,100,5.95,PH,1649706784
Touros,-5.1989,-35.4608,81.25,72,100,11.3,BR,1649706291
Nhulunbuy,-12.2333,136.7667,81.21,89,75,10.36,AU,1649706785
San Pedro de Macorís,18.4616,-69.2972,88.41,48,38,11.63,DO,1649706786
Bilma,18.6853,12.9164,91.22,6,0,6.6,NE,1649706786
Clyde River,70.4692,-68.5914,1.63,85,20,5.75,CA,1649706786
Dalbandin,28.8947,64.4101,79.9,9,0,4.47,PK,1649706171
